GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
401,1905.58,4448.03,5603.34,550.08,307.28,-91.18,-4123.32,-34412.75,1910.45,23170.42,-6041.41,210.36,-732.07,-5831.05,-6563.12
402,1895.96,4530.62,5681.45,562.35,303.57,-153.38,-4074.75,-34531.86,1911.55,23123.14,-5952.13,212.45,-751.35,-5739.68,-6491.03
403,1984.8,4487.48,5592.61,566.87,278.79,-122.99,-4060.57,-34486.74,1861.97,23107.83,-6021.61,212.47,-789.96,-5809.15,-6599.11
404,1912.73,4478.42,5608.31,551.45,256.83,-113.77,-4087.52,-34384.12,1896.06,23159.14,-6064.58,216.34,-722.46,-5848.24,-6570.69
405,1982.61,4534.87,5610.42,562.22,276.1,-134.5,-4133.38,-34377.79,1880.52,23016.01,-5979.24,211.79,-782.92,-5767.45,-6550.37
406,1883.06,4524.56,5653.74,554.86,275.05,-121.63,-4108.97,-34641.45,1918.31,23126.42,-5814.33,211.61,-936.05,-5602.72,-6538.77
407,1956.38,4424.28,5648.27,543.08,289.22,-103.16,-4082.2,-34693.61,1897.8,23205.06,-5922.76,210.74,-914.88,-5712.01,-6626.9
408,1884.55,4547.52,5615.62,562.77,274.79,-118.46,-4056.87,-34580.68,1933.69,23129.94,-5975.57,213.69,-807.12,-5761.88,-6569.0
409,1944.06,4613.61,5576.92,560.05,289.42,-127.89,-4126.45,-34597.65,1903.89,23200.97,-5896.47,208.49,-763.07,-5687.98,-6451.05
410,1896.58,4463.28,5606.55,531.06,303.34,-134.75,-4120.28,-34441.44,1914.23,23201.92,-6057.3,207.68,-779.5,-5849.62,-6629.12
411,1989.45,4504.07,5639.75,546.61,292.72,-139.37,-4089.85,-34372.82,1873.05,23085.84,-6060.03,211.23,-670.54,-5848.8,-6519.34
412,1945.82,4475.28,5614.1,538.48,308.81,-109.23,-4144.49,-34226.67,1891.87,23071.96,-6156.19,208.76,-634.07,-5947.44,-6581.51
413,1924.28,4531.18,5641.56,545.84,273.81,-129.43,-4098.32,-34490.52,1877.98,23099.18,-5994.75,208.79,-824.44,-5785.96,-6610.4
414,1930.95,4472.86,5626.08,558.06,284.23,-162.17,-4045.95,-34422.3,1864.91,23029.36,-6000.58,209.85,-863.97,-5790.73,-6654.7
415,1966.88,4490.25,5625.63,554.13,298.37,-144.96,-4053.21,-34380.97,1887.65,23083.9,-6049.22,214.21,-672.35,-5835.0,-6507.35
416,1964.66,4517.71,5663.0,556.02,302.03,-101.53,-4071.6,-34488.8,1889.87,23079.67,-6000.85,215.71,-688.98,-5785.14,-6474.12
417,1908.92,4473.51,5594.5,548.57,285.45,-135.53,-4101.23,-34441.16,1906.91,23147.31,-6042.46,212.89,-812.75,-5829.57,-6642.32
418,1982.82,4465.81,5636.88,562.96,293.8,-139.21,-4072.77,-34631.9,1900.73,23141.67,-5893.02,210.59,-859.21,-5682.43,-6541.63
419,2012.22,4439.53,5618.22,541.98,270.77,-133.72,-4105.16,-34457.05,1904.33,23195.97,-6049.64,212.9,-712.9,-5836.73,-6549.63
420,1925.0,4561.96,5659.64,531.85,294.39,-144.16,-4128.17,-34515.06,1910.16,23194.44,-5998.76,208.67,-709.95,-5790.09,-6500.04
421,1952.77,4553.39,5620.95,548.37,285.62,-126.69,-4095.37,-34387.24,1885.75,23108.39,-6094.02,208.88,-654.06,-5885.14,-6539.21
422,1916.73,4516.21,5609.4,565.36,279.28,-142.43,-4127.47,-34113.02,1917.17,23100.16,-6261.03,211.19,-478.61,-6049.84,-6528.45
423,1929.97,4456.12,5649.27,549.09,302.66,-123.11,-4140.85,-34372.22,1909.79,23148.76,-6086.85,207.81,-690.53,-5879.05,-6569.58
424,2017.42,4518.37,5643.46,556.87,301.1,-125.29,-4100.63,-34523.25,1942.64,23115.19,-5922.41,210.77,-654.12,-5711.64,-6365.76
425,1909.52,4489.35,5612.68,545.41,287.78,-130.44,-4096.07,-34391.61,1899.7,23102.2,-6033.97,214.84,-771.49,-5819.13,-6590.63
426,1948.51,4621.81,5587.22,584.54,295.0,-108.18,-4121.31,-34404.42,1885.48,23069.86,-6045.79,215.28,-641.5,-5830.5,-6472.0
427,1882.02,4468.99,5636.15,566.64,254.41,-124.49,-4073.2,-34506.4,1895.14,23161.51,-6003.37,213.93,-839.23,-5789.43,-6628.66
428,1904.16,4505.22,5665.44,537.22,292.98,-114.07,-4068.0,-34695.83,1902.65,23285.26,-5904.03,211.0,-784.97,-5693.03,-6478.0
429,1940.3,4496.25,5649.59,531.22,306.37,-147.65,-4077.54,-34649.21,1873.04,23133.28,-5852.98,212.94,-944.35,-5640.04,-6584.39
430,1886.92,4567.42,5578.42,552.96,294.49,-128.11,-4118.11,-34511.66,1891.15,23077.89,-5902.79,213.11,-908.63,-5689.68,-6598.32
431,1984.51,4536.98,5638.62,571.29,312.87,-138.52,-4052.21,-34647.1,1910.14,23109.95,-5881.06,214.65,-773.45,-5666.41,-6439.86
432,2015.62,4531.08,5627.91,555.07,281.5,-119.26,-4094.86,-34567.06,1892.58,23051.22,-5884.43,211.79,-826.19,-5672.64,-6498.82
433,1894.48,4507.92,5606.56,551.23,288.33,-88.7,-4096.26,-34709.65,1923.73,23071.57,-5710.12,211.92,-1050.79,-5498.2,-6548.99
434,1899.23,4535.47,5615.02,529.19,293.18,-146.09,-4071.29,-34454.65,1890.97,22977.53,-5881.77,212.93,-931.45,-5668.84,-6600.29
435,1915.02,4456.76,5612.25,546.33,303.95,-111.21,-4069.01,-34520.42,1927.05,23071.83,-5938.05,210.1,-867.45,-5727.96,-6595.4
436,1951.12,4502.26,5664.85,547.12,293.89,-123.46,-4065.43,-34442.04,1910.76,23086.53,-5971.98,211.24,-674.39,-5760.74,-6435.13
437,1899.58,4505.07,5677.64,536.0,283.34,-129.21,-4146.0,-34399.97,1902.56,23143.62,-6005.88,209.28,-727.37,-5796.61,-6523.98
438,1919.03,4503.64,5644.37,543.12,284.48,-107.14,-4067.92,-34658.31,1904.18,23159.38,-5866.4,211.48,-875.18,-5654.93,-6530.11
439,1969.08,4485.58,5620.17,556.18,298.81,-127.48,-4119.6,-34544.18,1893.97,23186.58,-5968.18,209.14,-780.89,-5759.04,-6539.92
440,1979.88,4579.55,5600.48,567.02,282.43,-126.75,-4117.45,-34456.31,1898.72,23107.23,-5971.6,208.65,-685.2,-5762.95,-6448.15
441,1856.76,4456.86,5646.79,535.92,291.78,-155.19,-4048.59,-34776.56,1936.33,23323.76,-5844.08,213.28,-932.14,-5630.81,-6562.95
442,1920.85,4434.28,5622.4,546.82,329.91,-121.28,-4124.47,-34553.47,1921.64,23170.19,-5890.94,212.66,-853.13,-5678.28,-6531.41
443,1876.51,4602.15,5568.0,564.72,291.36,-117.93,-4096.73,-34555.75,1889.2,23025.2,-5862.86,212.15,-953.28,-5650.71,-6603.99
