GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
601,2034.12,4454.24,5629.94,547.43,299.87,-116.91,-4125.79,-34350.56,1911.97,23106.13,-6157.92,202.24,-609.55,-5955.67,-6565.23
602,1921.57,4495.5,5609.71,555.15,288.43,-118.34,-4144.46,-34365.79,1900.14,23161.01,-6203.63,204.47,-697.07,-5999.16,-6696.23
603,1983.36,4511.41,5586.68,556.03,269.83,-100.74,-4101.65,-34415.21,1927.69,23071.47,-6102.02,206.24,-711.15,-5895.77,-6606.92
604,1955.92,4560.59,5593.19,551.96,285.71,-129.01,-4092.76,-34364.2,1870.62,23106.33,-6163.23,207.06,-661.65,-5956.17,-6617.82
605,1949.74,4510.52,5616.07,568.9,277.64,-124.97,-4113.37,-34450.45,1913.58,23183.26,-6114.75,204.39,-669.07,-5910.36,-6579.43
606,1959.68,4420.59,5634.33,515.99,303.26,-125.83,-4113.72,-34382.49,1894.24,23190.14,-6148.0,205.38,-703.8,-5942.62,-6646.42
607,1974.35,4576.1,5598.14,564.89,302.42,-128.33,-4153.62,-33996.76,1848.18,22932.38,-6313.96,206.12,-482.25,-6107.84,-6590.09
608,1932.71,4498.62,5591.25,550.35,304.79,-109.21,-4094.55,-34139.15,1879.03,23105.72,-6324.56,206.45,-480.44,-6118.11,-6598.55
609,1980.33,4588.3,5578.6,562.53,287.44,-99.72,-4172.82,-34210.34,1900.88,23016.73,-6212.24,205.92,-568.09,-6006.31,-6574.4
610,1952.7,4531.86,5608.88,551.82,317.48,-123.15,-4112.55,-34352.28,1891.33,23154.4,-6213.02,207.88,-579.51,-6005.14,-6584.65
611,1999.38,4454.66,5597.25,538.14,283.6,-116.17,-4115.43,-34176.12,1899.52,23070.9,-6316.62,206.09,-564.26,-6110.53,-6674.79
612,1946.71,4510.22,5563.1,554.72,292.94,-124.51,-4177.16,-34235.16,1903.15,23110.74,-6258.32,203.97,-655.25,-6054.34,-6709.59
613,1951.6,4388.66,5622.52,544.99,292.64,-118.09,-4137.83,-34305.56,1903.78,23227.32,-6250.19,203.39,-629.98,-6046.8,-6676.78
