GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
928,1908.4,4538.61,5658.33,552.29,317.5,-121.98,-4140.79,-34104.91,1873.13,23101.2,-6244.12,205.27,-418.23,-6038.85,-6457.08
929,1929.34,4537.54,5646.72,535.03,292.23,-93.77,-4102.98,-34192.45,1853.53,23160.79,-6224.48,209.49,-434.02,-6014.99,-6449.01
930,1885.51,4542.07,5548.48,546.02,296.9,-111.11,-4109.54,-34166.45,1860.31,23139.83,-6252.82,205.9,-567.97,-6046.92,-6614.89
931,1945.29,4494.36,5661.42,543.9,278.5,-136.2,-4153.84,-33987.63,1893.05,23135.86,-6379.14,205.05,-325.29,-6174.1,-6499.39
932,1925.25,4505.57,5652.63,568.95,282.72,-143.78,-4060.18,-34137.66,1882.74,23159.78,-6329.03,207.02,-363.98,-6122.01,-6485.99
933,1946.32,4509.09,5616.52,553.33,284.66,-101.6,-4091.91,-34130.27,1879.12,23117.05,-6322.05,209.95,-417.7,-6112.1,-6529.8
934,1921.96,4470.91,5572.02,552.13,285.46,-96.48,-4106.1,-34135.49,1872.54,23113.99,-6300.49,207.7,-549.06,-6092.79,-6641.85
935,1971.6,4494.42,5595.22,549.27,278.81,-133.35,-4112.17,-34261.49,1877.44,23256.96,-6248.88,207.09,-483.29,-6041.8,-6525.09
936,1904.39,4595.01,5605.67,546.94,308.17,-153.35,-4077.58,-34293.89,1856.72,23188.54,-6197.2,204.8,-519.39,-5992.4,-6511.8
937,2012.03,4486.0,5584.69,542.99,301.4,-130.68,-4090.84,-33981.32,1855.1,23189.29,-6434.39,208.15,-231.35,-6226.24,-6457.6
938,1910.18,4472.78,5600.58,542.7,287.06,-124.75,-4075.08,-34080.37,1874.48,23235.82,-6379.27,210.57,-356.6,-6168.7,-6525.29
939,1997.87,4485.13,5576.96,528.06,275.79,-116.59,-4096.66,-34222.89,1829.8,23046.01,-6146.46,206.98,-696.51,-5939.48,-6635.99
940,1960.63,4519.35,5592.84,562.07,294.61,-156.43,-4082.29,-34170.2,1857.09,23143.54,-6249.7,207.33,-478.79,-6042.37,-6521.15
941,1886.87,4507.77,5604.62,554.45,290.92,-126.79,-4084.49,-34313.69,1888.27,23217.24,-6259.52,205.44,-574.84,-6054.08,-6628.91
942,1889.06,4472.96,5614.53,553.23,275.64,-154.38,-4095.72,-34252.79,1902.22,23105.36,-6149.69,208.15,-689.89,-5941.54,-6631.43
943,1881.16,4547.06,5579.82,552.71,306.53,-89.15,-4064.11,-34395.17,1863.57,23141.87,-6094.7,207.2,-675.7,-5887.49,-6563.2
