GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1888.34,4411.13,5693.75,540.18,282.6,-59.7,-4260.33,-34907.49,1951.0,23069.1,-5507.57,183.91,-1391.4,-5323.66,-6715.06
2,1963.39,4665.83,5712.02,571.4,280.13,-94.37,-4208.92,-34477.42,1894.84,22899.27,-5801.05,194.32,-793.81,-5606.74,-6400.55
3,1917.23,4440.17,5698.93,537.35,300.88,-86.84,-4168.64,-34443.66,1937.06,23026.38,-5859.33,200.27,-841.13,-5659.06,-6500.2
4,1931.32,4536.77,5682.05,550.02,287.16,-103.07,-4107.69,-34552.36,1907.02,23022.41,-5854.76,200.18,-846.37,-5654.58,-6500.95
5,1934.8,4505.75,5703.24,539.39,270.37,-88.77,-4143.56,-34532.6,1885.31,23133.08,-5898.65,199.63,-792.99,-5699.01,-6492.01
6,1976.12,4463.02,5656.13,544.53,292.13,-85.6,-4143.23,-34542.04,1886.12,23133.52,-5858.51,197.29,-819.31,-5661.23,-6480.53
7,2005.37,4488.51,5701.43,548.3,288.25,-82.88,-4104.62,-34516.81,1919.85,23061.92,-5936.18,200.26,-690.67,-5735.92,-6426.59
8,1921.91,4609.33,5621.09,555.29,285.07,-93.9,-4227.69,-34487.57,1881.72,23089.27,-5836.83,199.42,-845.48,-5637.41,-6482.89
9,1962.24,4534.1,5657.7,555.76,316.84,-122.48,-4121.23,-34467.46,1910.65,23013.88,-5864.64,198.38,-759.99,-5666.26,-6426.25
10,1899.66,4393.96,5648.75,544.16,304.03,-82.37,-4111.6,-34623.07,1929.71,23097.48,-5803.35,204.74,-999.29,-5598.61,-6597.9
11,1970.91,4473.5,5670.81,543.4,289.66,-96.98,-4141.16,-34786.4,1918.45,23003.45,-5589.16,201.23,-1154.36,-5387.92,-6542.28
12,1990.46,4519.79,5706.1,560.59,294.07,-102.51,-4100.05,-34576.7,1895.38,23025.49,-5811.0,204.61,-787.38,-5606.39,-6393.77
13,1952.95,4487.96,5668.49,547.03,305.41,-93.81,-4173.26,-34658.53,1914.84,23174.21,-5792.81,201.89,-874.7,-5590.92,-6465.62
14,1958.19,4532.83,5669.65,544.2,289.49,-95.22,-4178.07,-34502.19,1887.67,23013.9,-5842.33,203.64,-879.55,-5638.69,-6518.24
15,2002.96,4429.48,5668.91,568.04,273.76,-95.83,-4142.95,-34511.07,1918.79,23054.07,-5880.21,205.18,-833.83,-5675.03,-6508.86
16,1932.9,4540.25,5679.03,554.2,278.19,-110.9,-4139.08,-34425.71,1896.7,23141.81,-5999.15,207.12,-652.6,-5792.04,-6444.64
17,1897.7,4472.16,5639.74,548.29,300.58,-102.78,-4091.56,-34405.32,1904.3,23163.69,-6036.16,205.63,-673.19,-5830.53,-6503.72
18,1955.03,4449.89,5649.53,550.04,287.78,-131.09,-4037.3,-34449.11,1912.59,23056.34,-6001.64,209.74,-756.29,-5791.9,-6548.18
19,1956.32,4484.5,5644.54,569.28,291.33,-114.58,-4066.45,-34646.06,1898.98,23096.19,-5841.1,206.88,-885.94,-5634.22,-6520.16
20,1857.03,4438.73,5661.58,548.45,279.21,-88.31,-4055.93,-34748.61,1927.63,23201.03,-5804.28,210.47,-979.19,-5593.81,-6573.0
21,1942.25,4515.28,5642.98,543.09,288.46,-99.58,-4055.11,-34688.42,1902.02,23092.49,-5782.74,207.74,-916.53,-5575.0,-6491.52
22,1948.16,4551.39,5705.38,554.92,294.85,-93.23,-4089.99,-34715.88,1914.59,23053.21,-5749.85,206.05,-876.6,-5543.79,-6420.39
23,1896.29,4505.12,5639.01,543.29,290.5,-59.15,-4100.46,-34607.78,1932.25,23044.63,-5864.44,209.89,-916.3,-5654.55,-6570.85
24,1958.07,4534.59,5674.05,560.66,281.67,-109.0,-4070.86,-34596.44,1870.88,23093.05,-5862.52,210.14,-803.33,-5652.38,-6455.71
25,1928.21,4522.88,5676.71,570.33,303.7,-91.87,-4091.3,-34609.53,1891.13,23168.74,-5935.94,208.52,-730.99,-5727.42,-6458.42
26,1944.05,4518.91,5671.02,549.84,304.87,-97.3,-4083.4,-34341.19,1915.71,23160.16,-6130.4,209.85,-457.32,-5920.55,-6377.87
27,1966.61,4463.3,5626.15,545.81,301.75,-98.04,-4052.9,-34471.73,1893.55,23172.97,-6036.42,213.15,-652.54,-5823.27,-6475.81
28,1926.42,4537.56,5637.49,561.01,277.75,-101.36,-4077.19,-34362.52,1912.21,23103.41,-6108.41,207.37,-585.22,-5901.04,-6486.26
29,1964.87,4549.34,5665.33,560.0,283.8,-130.21,-4111.19,-34467.55,1917.85,23089.97,-6009.64,208.5,-677.79,-5801.14,-6478.93
30,1860.24,4534.29,5635.56,541.2,309.65,-74.25,-4124.56,-34419.32,1926.35,23088.41,-6015.49,209.13,-722.44,-5806.36,-6528.79
31,1885.02,4454.49,5683.14,549.9,283.37,-88.39,-4075.27,-34245.07,1907.7,23097.92,-6212.48,212.51,-547.21,-5999.97,-6547.18
32,1956.9,4508.04,5658.47,571.54,286.65,-93.34,-4113.18,-34573.93,1914.89,23074.87,-5895.55,205.7,-809.07,-5689.85,-6498.93
33,1934.83,4522.75,5648.6,575.23,292.7,-113.95,-4037.91,-34610.59,1922.23,23099.71,-5865.9,209.49,-766.41,-5656.41,-6422.82
34,1983.66,4493.52,5646.13,554.34,291.28,-101.39,-4080.56,-34503.85,1890.6,22990.74,-5870.94,209.26,-835.53,-5661.68,-6497.2
35,1955.78,4446.2,5680.27,563.53,299.9,-97.3,-4078.66,-34466.59,1935.55,23141.96,-5992.57,208.32,-619.37,-5784.24,-6403.61
36,1964.24,4563.99,5606.44,579.51,327.85,-106.52,-4155.65,-34460.94,1919.84,23121.76,-5985.47,208.35,-639.49,-5777.12,-6416.61
37,1941.3,4536.59,5667.68,558.7,287.24,-96.42,-4091.47,-34418.3,1928.84,23105.41,-6021.12,205.96,-580.43,-5815.16,-6395.58
38,1949.59,4462.42,5614.8,562.76,306.55,-109.3,-4095.5,-34449.25,1871.31,23177.72,-6025.53,207.82,-708.9,-5817.71,-6526.61
39,1926.66,4489.77,5633.09,553.68,293.63,-105.77,-4031.17,-34434.34,1914.19,23145.86,-6052.02,210.08,-614.4,-5841.94,-6456.34
40,1976.58,4545.29,5625.08,564.97,290.84,-114.02,-4074.79,-34554.16,1910.56,23114.16,-5931.79,208.0,-715.47,-5723.8,-6439.27
41,1941.92,4494.55,5633.78,558.54,301.63,-113.15,-4083.55,-34626.82,1901.5,23081.29,-5850.23,207.13,-910.32,-5643.1,-6553.41
42,1898.28,4489.36,5618.53,545.83,266.7,-102.89,-4068.05,-34499.17,1927.1,23248.73,-6027.75,207.85,-675.58,-5819.89,-6495.47
43,1904.4,4510.32,5646.21,563.0,284.12,-117.06,-4086.69,-34382.54,1902.54,23137.01,-6059.65,207.11,-638.69,-5852.54,-6491.23
