GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
47,12.63,23.96,4.92,0.0,0.25,0.0,-4.02,39.05,29.59,-84.06,-78.07,3.26,22.32,-74.81,-52.49
48,13.82,31.7,2.36,0.0,0.35,0.0,-6.1,41.17,27.05,-85.69,-75.69,3.24,24.66,-72.45,-47.79
49,12.06,30.64,2.24,0.0,0.07,0.0,-2.39,38.69,30.75,-82.96,-78.65,3.22,29.1,-75.43,-46.33
50,14.01,28.15,2.36,0.0,0.04,0.0,-5.77,41.07,30.79,-86.44,-77.53,3.21,24.21,-74.32,-50.12
51,14.3,26.02,4.84,0.0,0.42,0.0,-4.93,39.98,27.22,-87.04,-77.49,3.22,20.82,-74.26,-53.44
52,8.95,27.83,1.28,0.0,0.02,0.0,-4.77,41.09,32.63,-89.24,-77.8,3.2,17.78,-74.6,-56.82
53,15.3,25.34,3.23,0.0,0.36,0.0,-3.87,39.35,28.18,-85.28,-75.73,3.24,22.61,-72.5,-49.89
54,11.28,37.95,0.98,0.0,0.03,0.0,-0.86,38.56,27.12,-85.64,-75.53,3.25,29.42,-72.29,-42.87
55,8.4,32.7,1.54,0.0,0.07,0.0,-6.59,44.02,33.72,-86.73,-80.33,3.24,27.14,-77.09,-49.95
56,13.6,24.33,1.84,0.0,0.06,0.0,-4.45,36.0,26.78,-84.46,-76.07,3.25,13.7,-72.81,-59.11
57,11.44,29.42,1.83,0.0,0.05,0.0,-5.47,38.37,29.15,-85.95,-73.68,3.2,18.84,-70.47,-51.64
58,11.84,25.93,2.02,0.0,0.21,0.0,-4.45,39.0,28.08,-88.32,-75.99,3.23,14.3,-72.76,-58.45
59,17.66,31.48,2.2,0.0,0.24,0.0,-5.94,36.83,26.21,-83.8,-77.83,3.27,24.88,-74.56,-49.68
60,14.97,30.84,3.61,0.0,0.06,0.0,-6.72,40.0,26.15,-86.82,-76.14,3.24,22.1,-72.89,-50.79
61,7.78,27.26,2.11,0.0,0.09,0.0,-5.21,39.39,31.81,-86.16,-76.67,3.2,17.08,-73.47,-56.39
62,13.26,27.2,-1.21,0.0,0.48,0.0,-3.59,36.84,25.69,-84.68,-76.19,3.24,13.98,-72.96,-58.98
63,10.39,28.13,0.09,0.0,0.06,0.0,-6.39,37.85,25.1,-82.5,-75.78,3.23,12.73,-72.55,-59.81
64,15.13,24.79,4.63,0.0,0.03,0.0,-5.68,39.82,29.01,-87.59,-77.07,3.2,20.13,-73.86,-53.73
65,14.26,30.14,0.37,0.0,0.02,0.0,-4.06,35.79,23.71,-84.65,-74.03,3.21,15.59,-70.82,-55.23
66,9.13,34.12,2.73,0.0,0.02,0.0,-5.61,39.58,26.83,-84.56,-79.72,3.25,22.24,-76.47,-54.23
67,22.58,28.18,0.42,0.0,-0.03,0.0,-2.99,42.32,23.96,-85.73,-79.4,3.24,28.69,-76.15,-47.46
68,12.26,30.39,2.28,0.0,0.35,0.0,-5.99,43.86,28.07,-87.6,-81.83,3.22,23.62,-78.61,-54.99
69,11.24,37.27,4.6,0.0,0.2,0.0,-4.42,38.81,29.5,-88.35,-74.39,3.22,28.84,-71.17,-42.33
70,13.72,29.13,2.66,0.0,0.49,0.0,-4.85,36.32,24.78,-83.41,-74.77,3.24,18.85,-71.53,-52.68
71,12.3,30.21,3.97,0.0,0.13,0.0,-4.79,45.1,30.41,-86.98,-81.02,3.22,30.35,-77.79,-47.44
72,11.95,27.28,2.28,0.0,0.3,0.0,-5.16,37.83,26.65,-84.07,-75.14,3.21,17.06,-71.92,-54.87
73,11.07,32.45,1.87,0.0,0.15,0.0,-5.89,37.33,28.44,-86.7,-74.32,3.24,18.73,-71.08,-52.35
74,10.54,34.45,2.09,0.0,0.14,0.0,-6.87,40.73,25.62,-88.81,-75.65,3.22,17.89,-72.43,-54.54
75,11.19,27.78,7.17,0.0,0.31,0.0,-3.92,45.89,29.83,-91.08,-76.41,3.18,27.16,-73.24,-46.08
76,11.89,31.21,3.28,0.0,0.05,0.0,-2.44,36.64,26.59,-82.62,-74.93,3.24,24.6,-71.69,-47.09
77,10.86,33.41,2.4,0.0,0.19,0.0,-5.15,41.4,27.33,-84.76,-78.0,3.23,25.69,-74.77,-49.08
78,16.16,32.97,3.41,0.0,0.18,0.0,-5.01,40.36,31.34,-88.99,-76.59,3.24,30.42,-73.35,-42.93
79,11.78,28.61,3.31,0.0,0.07,0.0,-5.77,40.98,31.68,-90.03,-75.26,3.22,20.64,-72.04,-51.39
80,13.44,28.96,3.43,0.0,0.17,0.0,-5.81,37.38,30.05,-87.33,-74.6,3.23,20.29,-71.37,-51.08
81,7.34,34.37,2.98,0.0,0.11,0.0,-5.9,41.02,27.74,-87.22,-77.65,3.23,20.43,-74.42,-54.0
82,17.23,31.71,3.59,0.0,0.06,0.0,-6.23,35.91,25.63,-83.78,-74.77,3.22,24.14,-71.55,-47.41
83,14.32,33.14,3.61,0.0,0.41,0.0,-4.34,38.2,26.53,-84.61,-79.84,3.18,27.25,-76.65,-49.4
84,10.88,24.53,2.2,0.0,0.04,0.0,-5.84,43.02,26.11,-84.65,-80.0,3.22,16.29,-76.78,-60.49
85,16.87,30.25,1.12,0.0,0.18,0.0,-3.85,42.62,29.42,-83.46,-80.71,3.21,33.16,-77.5,-44.35
86,9.44,37.96,3.19,0.0,0.19,0.0,-6.09,44.41,29.58,-86.94,-83.16,3.24,31.74,-79.92,-48.18
87,13.13,31.1,2.46,0.0,0.11,0.0,-4.53,37.44,25.11,-82.13,-78.87,3.21,22.69,-75.66,-52.97
88,9.92,31.22,3.09,0.0,0.05,0.0,-0.52,36.46,27.15,-84.17,-75.76,3.23,23.19,-72.53,-49.35
89,16.79,30.92,7.91,0.0,0.18,0.0,-5.52,41.95,25.23,-86.23,-79.15,3.23,31.24,-75.93,-44.69
90,14.52,34.57,2.08,0.0,0.26,0.0,-4.69,41.9,30.0,-88.41,-77.12,3.23,30.24,-73.9,-43.66
91,14.15,29.37,1.9,0.0,0.11,0.0,-6.64,36.03,26.74,-79.94,-75.43,3.24,21.73,-72.19,-50.46
92,10.92,30.45,-0.65,0.0,0.07,0.0,-6.18,39.0,29.27,-83.5,-79.41,3.25,19.38,-76.15,-56.77
93,12.72,34.27,3.41,0.0,0.2,0.0,-4.82,37.55,26.06,-85.51,-76.87,3.24,23.88,-73.63,-49.75
94,11.4,30.66,-0.06,0.0,0.03,0.0,-4.18,40.54,28.71,-88.94,-76.47,3.23,18.17,-73.24,-55.07
95,16.48,32.0,3.32,0.0,0.53,0.0,-5.75,37.84,23.35,-86.0,-74.58,3.21,21.78,-71.37,-49.59
96,11.67,32.25,3.06,0.0,0.26,0.0,-5.2,44.63,27.64,-87.57,-79.66,3.25,26.74,-76.41,-49.67
97,11.99,32.13,5.41,0.0,0.65,0.0,-6.64,35.84,28.54,-83.87,-75.26,3.21,24.05,-72.05,-48.0
98,8.26,31.92,4.82,0.0,0.12,0.0,-5.29,38.69,28.77,-86.03,-77.85,3.27,21.25,-74.59,-53.33
99,9.88,38.88,2.83,0.0,0.09,0.0,-3.31,35.66,25.33,-80.1,-77.08,3.26,29.25,-73.81,-44.56
100,9.85,29.16,1.68,0.0,0.35,0.0,-4.96,40.36,26.28,-83.9,-78.17,3.21,18.82,-74.96,-56.14
101,14.15,30.3,2.3,0.0,0.35,0.0,-5.14,35.1,26.07,-83.06,-74.82,3.24,20.08,-71.58,-51.5
102,13.12,31.96,3.19,0.0,0.22,0.0,-5.84,36.84,25.34,-86.6,-75.98,3.23,18.23,-72.76,-54.53
103,16.2,23.33,3.63,0.0,0.19,0.0,-5.79,39.24,27.82,-86.7,-76.43,3.23,17.91,-73.2,-55.29
104,12.61,29.68,3.91,0.0,0.11,0.0,-5.43,37.84,27.82,-85.24,-76.52,3.25,21.3,-73.27,-51.97
105,15.18,30.87,0.07,0.0,0.42,0.0,-6.51,36.76,25.0,-85.92,-76.53,3.26,15.86,-73.27,-57.41
106,14.03,33.82,3.46,0.0,1.02,0.0,-5.42,35.63,26.25,-85.75,-76.0,3.26,23.05,-72.74,-49.69
107,8.35,33.93,1.67,0.0,0.01,0.0,-3.62,35.99,26.96,-86.09,-73.88,3.22,17.2,-70.66,-53.46
108,13.59,25.31,4.29,0.0,0.36,0.0,-5.48,44.17,26.56,-89.46,-78.92,3.25,19.34,-75.67,-56.33
109,13.85,28.13,2.08,0.0,0.31,0.0,-1.83,35.13,29.87,-85.91,-73.76,3.23,21.62,-70.53,-48.91
110,12.84,26.97,3.07,0.0,0.23,0.0,-5.66,37.84,26.55,-85.13,-77.17,3.25,16.72,-73.92,-57.2
111,17.16,38.26,2.16,0.0,0.07,0.0,-6.57,37.13,25.22,-83.7,-77.52,3.25,29.72,-74.27,-44.55
112,8.1,29.49,5.17,0.0,0.09,0.0,-5.54,35.64,27.49,-84.82,-75.3,3.24,15.63,-72.06,-56.43
113,16.86,29.7,0.05,0.0,0.14,0.0,-3.68,38.48,23.91,-84.47,-76.61,3.23,20.98,-73.38,-52.4
114,13.82,29.68,2.85,0.0,0.57,0.0,-4.65,38.43,30.17,-87.09,-75.27,3.22,23.79,-72.05,-48.26
115,7.15,30.56,0.08,0.0,0.12,0.0,-4.91,38.16,32.58,-85.59,-75.25,3.21,18.13,-72.04,-53.91
116,11.23,31.18,-0.08,0.0,0.24,0.0,-6.79,36.36,26.28,-82.52,-78.69,3.24,15.9,-75.45,-59.55
117,11.26,28.75,1.95,0.0,0.34,0.0,-5.42,38.84,24.3,-84.63,-78.06,3.22,15.39,-74.84,-59.45
118,12.2,39.26,0.84,0.0,0.14,0.0,-5.02,44.93,27.18,-84.35,-82.62,3.25,35.2,-79.37,-44.17
119,11.85,37.51,3.72,0.0,0.09,0.0,-6.41,37.45,26.01,-82.2,-77.64,3.27,28.02,-74.37,-46.35
120,11.66,27.02,0.13,0.0,0.11,0.0,-4.91,37.56,25.7,-83.55,-76.87,3.23,13.72,-73.65,-59.92
121,14.0,30.64,3.69,0.0,0.2,0.0,-3.92,37.74,28.41,-88.36,-76.08,3.21,22.4,-72.87,-50.47
122,15.75,26.64,2.37,0.0,0.23,0.0,-5.8,40.51,24.78,-85.07,-78.4,3.26,19.4,-75.14,-55.74
123,7.72,37.43,1.24,0.0,0.04,0.0,-6.44,39.33,27.88,-87.52,-76.6,3.24,19.69,-73.36,-53.67
124,10.65,27.64,2.93,0.0,0.25,0.0,-5.26,35.34,28.22,-84.66,-73.68,3.23,15.11,-70.44,-55.33
125,19.75,23.96,1.62,0.0,0.09,0.0,-4.55,43.91,28.42,-87.08,-78.5,3.22,26.14,-75.28,-49.15
126,17.68,37.56,0.55,0.0,0.12,0.0,-5.51,43.18,26.69,-84.2,-82.54,3.24,36.07,-79.3,-43.23
127,13.39,27.51,4.61,0.0,0.38,0.0,-6.38,38.42,29.55,-85.69,-75.93,3.22,21.8,-72.72,-50.92
128,9.9,28.37,4.23,0.0,0.33,0.0,-5.24,36.3,25.91,-84.73,-74.52,3.22,15.06,-71.3,-56.24
129,11.84,28.34,2.02,0.0,0.48,0.0,-3.68,37.24,29.94,-86.87,-73.21,3.23,19.31,-69.99,-50.68
130,13.52,33.66,-0.14,0.0,0.07,0.0,-4.88,37.44,28.12,-84.77,-76.3,3.23,23.02,-73.07,-50.05
131,11.69,31.52,3.19,0.0,0.46,0.0,-5.5,35.23,28.66,-85.58,-72.15,3.25,19.66,-68.91,-49.24
132,12.29,33.26,8.63,0.0,0.27,0.0,-5.93,36.75,24.9,-83.45,-74.83,3.26,26.72,-71.57,-44.85
133,13.96,25.98,-0.26,0.0,0.03,0.0,-4.23,39.47,27.76,-86.41,-75.67,3.24,16.3,-72.43,-56.13
134,12.0,28.37,4.36,0.0,0.11,0.0,-6.37,43.15,32.37,-92.52,-76.7,3.21,21.47,-73.49,-52.03
135,10.9,35.22,1.03,0.0,0.3,0.0,-4.46,43.49,34.0,-88.18,-78.62,3.19,32.31,-75.42,-43.12
136,13.49,30.29,6.54,0.0,0.33,0.0,-4.74,40.94,25.07,-85.29,-76.84,3.24,26.63,-73.6,-46.97
