GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
401,1973.97,4497.1,5559.05,555.24,289.14,-94.16,-4066.89,-34369.22,1882.0,23066.39,-6112.63,217.11,-707.4,-5895.52,-6602.92
402,1952.33,4466.93,5617.02,546.01,299.62,-100.83,-4068.06,-34291.83,1913.7,23041.47,-6173.1,213.76,-623.61,-5959.34,-6582.95
403,1936.42,4506.63,5600.42,551.95,302.96,-98.47,-4060.37,-34361.16,1897.11,23044.85,-6106.77,211.89,-679.65,-5894.88,-6574.53
404,1941.07,4422.73,5649.04,560.17,287.52,-139.28,-4073.31,-34327.08,1908.55,23072.6,-6138.6,211.89,-698.0,-5926.72,-6624.71
405,1975.92,4415.1,5584.85,528.6,303.63,-99.93,-4158.95,-34223.33,1898.42,23050.29,-6208.67,209.77,-725.39,-5998.9,-6724.29
406,1917.59,4433.51,5573.22,539.22,311.43,-106.2,-4106.32,-34378.37,1893.54,23062.46,-6093.43,208.9,-859.92,-5884.53,-6744.45
407,1879.84,4492.96,5615.19,549.31,301.67,-102.09,-4108.56,-34328.41,1923.27,23053.54,-6102.74,210.8,-723.28,-5891.93,-6615.21
408,1869.78,4575.26,5617.1,527.23,311.27,-105.42,-4131.98,-34280.61,1899.32,23064.02,-6183.6,207.88,-654.02,-5975.73,-6629.75
409,1869.36,4546.89,5592.49,566.05,307.79,-120.49,-4083.64,-34221.5,1881.85,22989.38,-6177.58,208.71,-671.82,-5968.87,-6640.68
410,1956.72,4550.22,5583.25,563.64,292.76,-119.45,-4067.77,-34312.91,1878.68,23118.77,-6241.7,211.39,-556.1,-6030.3,-6586.4
411,1974.93,4526.34,5613.77,553.78,275.41,-138.31,-4080.73,-34323.81,1881.28,22957.99,-6101.82,209.27,-759.34,-5892.55,-6651.89
412,1994.47,4439.12,5563.62,556.56,291.55,-140.75,-4059.74,-34297.89,1904.87,23021.55,-6149.46,210.64,-726.62,-5938.82,-6665.45
413,1934.72,4406.37,5600.75,524.9,284.07,-117.0,-4096.8,-34494.66,1886.75,23011.34,-5923.18,208.64,-1059.57,-5714.54,-6774.11
414,1871.34,4473.8,5600.46,536.27,295.47,-81.44,-4082.62,-34583.58,1929.84,23106.39,-5928.77,207.45,-934.07,-5721.32,-6655.39
415,1962.71,4490.77,5626.31,562.12,286.2,-87.91,-4103.05,-34587.88,1885.65,23080.38,-5916.37,206.99,-884.71,-5709.38,-6594.09
416,1947.32,4512.78,5615.46,542.87,298.75,-113.21,-4080.42,-34352.27,1926.91,22993.42,-6091.93,211.47,-708.39,-5880.46,-6588.85
417,1886.49,4479.47,5602.53,532.42,299.66,-132.42,-4062.0,-34364.58,1922.52,23081.88,-6167.18,213.19,-754.02,-5953.99,-6708.01
418,1881.62,4588.31,5582.05,547.93,306.67,-98.44,-4075.52,-34416.03,1897.66,23065.48,-6076.0,213.35,-720.28,-5862.65,-6582.93
419,1898.66,4530.6,5578.54,545.79,272.46,-106.39,-4070.72,-34407.84,1882.23,22986.89,-6073.76,212.55,-889.77,-5861.21,-6750.98
420,1940.18,4518.92,5566.66,571.2,300.14,-100.61,-4121.06,-34448.86,1912.34,23108.84,-6106.66,209.48,-752.25,-5897.18,-6649.43
421,1953.1,4570.45,5585.26,564.75,293.71,-110.12,-4061.72,-34320.1,1905.45,22974.68,-6129.26,210.14,-644.54,-5919.13,-6563.66
422,1859.84,4446.64,5618.67,541.1,308.32,-127.0,-4120.36,-34591.51,1895.91,23232.6,-5974.86,206.64,-935.79,-5768.23,-6704.02
423,1961.45,4501.55,5626.45,562.88,313.47,-110.47,-4141.84,-34375.91,1911.13,23149.54,-6132.63,210.25,-601.75,-5922.38,-6524.13
424,1984.43,4479.7,5580.3,564.86,293.45,-130.04,-4047.51,-34314.24,1877.54,22899.77,-6104.02,210.72,-811.73,-5893.3,-6705.04
425,1963.69,4546.21,5593.8,540.9,276.6,-102.97,-4072.82,-34346.51,1889.47,23133.59,-6233.37,213.32,-578.04,-6020.05,-6598.09
426,1980.11,4518.73,5539.39,556.74,276.4,-99.25,-4098.1,-34189.93,1908.01,23080.99,-6325.81,210.36,-526.92,-6115.44,-6642.36
427,1947.11,4478.07,5590.88,554.33,286.03,-94.94,-4101.2,-34157.48,1906.63,23005.01,-6243.09,209.44,-585.59,-6033.65,-6619.24
428,1915.97,4456.73,5642.52,539.91,312.13,-83.44,-4137.19,-34143.17,1923.71,23024.5,-6205.72,209.94,-548.33,-5995.78,-6544.12
429,1911.12,4574.37,5539.51,546.59,292.21,-135.2,-4095.95,-34130.84,1883.89,23030.37,-6300.86,209.62,-583.92,-6091.24,-6675.16
430,1835.56,4520.86,5589.73,552.12,284.19,-100.88,-4086.58,-34281.67,1903.69,23054.04,-6138.19,209.9,-728.94,-5928.29,-6657.23
431,1948.36,4581.92,5578.25,554.66,299.0,-97.4,-4121.97,-34258.88,1892.63,22968.67,-6174.18,206.92,-654.76,-5967.26,-6622.02
432,1948.57,4515.68,5629.33,547.49,297.42,-92.62,-4064.33,-34422.15,1906.43,23206.26,-6113.63,211.06,-527.91,-5902.57,-6430.49
433,1941.39,4586.9,5665.35,574.8,270.45,-111.14,-4120.79,-34121.42,1927.46,22995.49,-6252.33,210.77,-391.52,-6041.56,-6433.08
434,1933.93,4524.77,5533.04,553.52,291.34,-80.65,-4070.52,-34195.85,1916.9,23009.0,-6256.17,211.08,-584.52,-6045.09,-6629.61
435,1939.93,4590.7,5573.48,561.6,283.88,-95.3,-4177.33,-34108.48,1893.1,22967.41,-6235.4,210.48,-571.02,-6024.93,-6595.95
436,1955.44,4612.43,5625.47,580.5,285.42,-119.83,-4104.69,-34351.13,1896.07,23030.75,-6135.68,207.31,-589.58,-5928.37,-6517.95
437,1962.8,4615.11,5622.79,564.41,304.22,-117.73,-4058.82,-34272.89,1909.16,23021.96,-6158.48,207.78,-448.99,-5950.71,-6399.7
438,1937.36,4474.45,5615.74,538.62,284.74,-128.25,-4104.1,-34259.57,1881.14,22978.32,-6093.43,206.8,-781.53,-5886.63,-6668.16
439,2057.61,4552.03,5627.51,560.77,295.85,-102.45,-4134.69,-34180.58,1858.68,22953.76,-6226.94,208.7,-511.51,-6018.24,-6529.75
440,1938.84,4534.71,5608.82,557.65,311.01,-94.26,-4132.48,-34329.0,1855.02,22969.4,-6065.27,207.75,-780.32,-5857.52,-6637.84
441,1960.91,4448.89,5570.04,539.26,287.39,-118.87,-4140.85,-34328.04,1890.1,23032.71,-6081.5,205.29,-858.46,-5876.21,-6734.67
442,1951.64,4496.19,5640.4,545.48,305.53,-117.07,-4120.72,-34129.76,1888.67,23018.35,-6260.21,205.96,-521.27,-6054.25,-6575.52
443,1888.86,4440.02,5596.68,559.39,289.56,-90.73,-4079.46,-34371.55,1922.09,23151.89,-6109.09,207.3,-693.25,-5901.79,-6595.04
444,1972.33,4559.87,5591.55,554.93,293.57,-102.3,-4075.04,-34288.57,1905.74,23010.29,-6130.92,208.29,-577.61,-5922.63,-6500.25
445,1981.8,4457.91,5629.65,544.5,298.65,-110.51,-4110.34,-34185.0,1898.36,23029.18,-6246.28,208.15,-565.8,-6038.14,-6603.94
446,1893.84,4569.55,5573.14,554.7,285.3,-111.75,-4089.13,-34157.6,1911.32,22966.76,-6181.61,209.84,-603.88,-5971.78,-6575.66
447,1990.98,4509.01,5611.65,575.1,274.04,-96.21,-4118.79,-34276.67,1880.09,23076.44,-6191.05,207.84,-574.35,-5983.2,-6557.56
448,1893.02,4520.12,5577.81,547.59,294.36,-139.48,-4074.59,-34356.96,1906.31,23117.07,-6148.49,204.98,-714.74,-5943.52,-6658.25
449,1913.6,4549.81,5605.11,552.85,298.61,-106.91,-4090.1,-34180.47,1868.11,23017.46,-6293.63,207.48,-571.94,-6086.15,-6658.08
450,1918.08,4383.05,5578.65,540.56,280.97,-90.99,-4077.94,-34246.48,1928.31,23057.24,-6226.37,206.13,-728.56,-6020.24,-6748.79
451,1964.04,4516.49,5597.94,549.77,285.73,-97.82,-4054.68,-34192.69,1906.05,23058.16,-6273.58,209.34,-467.01,-6064.24,-6531.25
452,1893.31,4465.34,5627.31,529.35,295.12,-138.55,-4106.53,-34133.99,1882.1,23038.7,-6287.57,211.48,-647.85,-6076.09,-6723.94
453,1903.26,4505.61,5609.65,557.13,293.78,-97.89,-4088.79,-34178.64,1896.93,23113.4,-6308.14,213.28,-485.54,-6094.85,-6580.39
