GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
801,1936.49,4512.72,5589.95,547.36,298.32,-112.06,-4043.42,-34646.34,1904.35,23214.88,-5938.38,214.97,-797.75,-5723.4,-6521.15
802,1962.13,4516.84,5632.73,532.17,298.83,-118.64,-4020.11,-34431.32,1903.09,23054.0,-6001.63,217.43,-670.27,-5784.2,-6454.47
803,1967.36,4394.33,5650.49,553.46,301.19,-102.63,-4065.12,-34559.43,1911.9,23205.38,-5964.09,214.86,-743.07,-5749.23,-6492.31
804,1903.71,4535.9,5608.23,561.03,286.87,-125.53,-4041.56,-34647.63,1936.9,23200.18,-5920.26,215.1,-781.89,-5705.16,-6487.05
805,1922.85,4484.23,5602.3,542.9,292.08,-107.47,-4083.48,-34509.38,1880.17,23101.11,-5941.21,212.68,-874.68,-5728.52,-6603.21
806,1994.34,4480.7,5594.18,534.82,283.05,-118.67,-4024.89,-34591.75,1912.41,23123.52,-5914.66,213.62,-812.29,-5701.04,-6513.34
807,1897.01,4588.82,5601.34,557.87,289.41,-110.7,-4105.18,-34323.96,1910.63,23020.0,-6064.88,214.71,-674.77,-5850.17,-6524.94
808,1935.13,4514.09,5612.36,557.6,285.9,-123.55,-4023.92,-34350.57,1922.06,23037.82,-6059.08,217.23,-633.1,-5841.86,-6474.96
809,1932.91,4541.03,5583.91,554.78,319.52,-96.08,-4009.29,-34534.33,1916.55,23150.0,-5926.92,215.35,-640.99,-5711.57,-6352.56
810,1939.45,4488.88,5563.44,532.85,298.92,-111.16,-4054.02,-34349.88,1878.14,23051.62,-6036.93,217.29,-761.76,-5819.63,-6581.39
811,1988.75,4439.12,5643.3,571.04,279.5,-149.0,-4044.19,-34249.62,1887.82,23037.25,-6157.15,219.14,-596.03,-5938.01,-6534.04
812,1960.77,4483.73,5572.88,543.61,294.11,-126.37,-4060.65,-34462.18,1894.26,23190.84,-6036.63,216.04,-708.99,-5820.59,-6529.58
813,1898.58,4529.19,5590.91,561.8,296.49,-120.36,-4043.02,-34352.23,1909.24,22979.38,-6073.16,216.33,-750.0,-5856.83,-6606.84
814,1956.36,4557.35,5609.89,577.38,298.08,-107.6,-4051.19,-34308.24,1903.1,23077.63,-6092.07,216.38,-487.25,-5875.68,-6362.93
815,1955.48,4468.07,5602.78,559.74,304.82,-128.04,-4030.45,-34365.83,1911.87,23089.16,-6075.28,216.28,-632.4,-5859.0,-6491.4
816,1915.66,4517.58,5602.05,550.91,295.58,-128.47,-4014.88,-34328.98,1875.35,23143.61,-6126.99,216.77,-571.57,-5910.22,-6481.79
817,1912.76,4489.58,5607.89,547.68,318.24,-116.31,-4027.65,-34413.17,1914.53,23177.98,-6069.37,214.5,-588.47,-5854.87,-6443.34
818,1972.79,4438.28,5596.33,536.75,315.81,-150.49,-4027.12,-34258.11,1888.51,23088.83,-6198.45,219.13,-598.42,-5979.31,-6577.73
819,1976.28,4482.23,5581.81,559.22,293.81,-141.41,-4083.44,-34324.62,1904.28,23073.26,-6056.55,215.33,-678.59,-5841.22,-6519.81
820,1940.89,4513.4,5584.1,538.46,294.91,-124.25,-3998.69,-34341.94,1909.07,23016.36,-6039.47,215.53,-667.69,-5823.94,-6491.63
821,1904.76,4425.51,5546.19,548.77,306.74,-85.61,-4022.22,-34413.22,1927.99,23138.03,-6029.47,215.54,-723.06,-5813.93,-6536.99
822,1927.54,4463.56,5602.26,548.36,290.09,-123.0,-4065.6,-34427.07,1898.78,23057.58,-5975.72,214.05,-827.49,-5761.68,-6589.17
823,1940.76,4537.43,5587.71,549.66,299.15,-110.5,-4058.09,-34182.43,1883.54,23107.6,-6235.75,215.9,-445.17,-6019.84,-6465.01
824,2005.6,4553.99,5583.78,550.2,301.11,-99.08,-4090.96,-34375.84,1879.24,23058.04,-6020.4,213.93,-633.92,-5806.47,-6440.38
825,1909.32,4569.27,5587.3,562.81,280.2,-112.32,-4068.52,-34403.62,1893.59,23111.73,-6024.18,215.02,-670.26,-5809.17,-6479.42
826,1943.06,4514.95,5586.27,543.48,289.23,-106.95,-4085.51,-34222.29,1904.63,23088.01,-6220.97,213.2,-545.14,-6007.78,-6552.92
827,2036.35,4618.23,5621.45,559.08,286.88,-140.76,-4068.56,-34265.48,1857.17,22980.61,-6098.5,213.6,-515.03,-5884.9,-6399.93
828,1944.88,4466.59,5583.42,544.42,295.91,-135.52,-4068.87,-34508.67,1858.3,23258.6,-6049.45,216.26,-760.94,-5833.19,-6594.14
829,1967.82,4545.4,5603.74,567.04,299.64,-117.85,-4061.96,-34325.92,1873.01,23074.62,-6077.98,215.87,-574.47,-5862.11,-6436.58
