GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
201,1895.66,4585.75,5580.15,565.26,287.17,-110.16,-4123.06,-34269.15,1949.14,22954.33,-6089.93,203.87,-684.91,-5886.06,-6570.97
202,1920.15,4594.66,5583.51,556.19,281.28,-104.85,-4125.06,-33948.71,1909.03,22905.77,-6302.95,210.76,-428.03,-6092.2,-6520.22
203,1890.44,4585.34,5630.12,548.8,311.2,-120.78,-4123.62,-34103.05,1897.17,22872.79,-6173.66,205.52,-611.58,-5968.14,-6579.72
204,1886.75,4585.31,5648.48,555.29,293.34,-115.99,-4123.16,-34143.8,1889.89,22971.77,-6179.65,207.02,-552.12,-5972.63,-6524.75
205,1963.11,4509.52,5607.24,552.82,286.13,-113.73,-4124.64,-34366.56,1883.41,22998.58,-6037.21,206.62,-804.12,-5830.59,-6634.71
206,1916.87,4521.54,5572.21,540.18,294.33,-113.84,-4140.32,-34090.43,1901.34,23044.39,-6234.22,205.86,-553.72,-6028.35,-6582.07
207,1891.61,4600.97,5654.85,547.67,330.97,-125.53,-4135.6,-34139.46,1887.26,23003.66,-6190.64,209.45,-483.6,-5981.19,-6464.79
208,1951.66,4614.79,5624.97,561.01,295.48,-125.64,-4150.79,-34231.06,1896.86,23011.11,-6124.24,206.24,-551.6,-5918.0,-6469.6
209,1955.68,4552.22,5599.32,546.13,296.4,-95.25,-4149.74,-34245.82,1915.12,22971.98,-6120.15,204.15,-653.96,-5916.0,-6569.96
210,1939.77,4588.71,5590.49,554.14,298.17,-119.09,-4106.68,-34237.34,1871.61,22972.77,-6116.32,210.43,-647.45,-5905.89,-6553.34
211,1937.38,4600.67,5626.13,555.1,297.48,-123.94,-4089.58,-34313.56,1886.78,22956.72,-6055.31,209.58,-666.83,-5845.73,-6512.55
212,1978.56,4553.88,5662.4,546.24,292.35,-123.67,-4143.03,-34226.87,1869.29,22870.02,-6045.96,208.89,-720.83,-5837.07,-6557.9
213,1900.48,4393.86,5616.64,547.55,294.43,-106.37,-4094.03,-34540.01,1893.86,23128.53,-5904.55,209.88,-965.05,-5694.67,-6659.73
214,1860.66,4440.8,5611.14,539.63,297.23,-133.14,-4093.97,-34433.57,1896.05,23071.99,-6023.88,208.68,-943.17,-5815.2,-6758.37
215,2007.4,4524.84,5604.67,558.4,291.43,-89.42,-4133.79,-34389.68,1918.57,23027.25,-6051.01,207.85,-680.32,-5843.17,-6523.48
216,1933.05,4576.86,5579.77,572.16,289.26,-111.82,-4083.55,-34394.82,1882.02,23062.12,-6026.55,210.32,-694.94,-5816.23,-6511.17
217,1943.29,4483.3,5615.4,555.53,273.91,-118.78,-4102.97,-34618.48,1896.43,23088.36,-5827.21,208.23,-984.02,-5618.98,-6603.0
218,1912.94,4573.53,5640.95,552.56,313.92,-90.95,-4112.36,-34439.55,1898.89,22996.79,-5956.78,212.16,-753.28,-5744.62,-6497.9
219,1926.73,4586.94,5626.25,542.57,301.11,-106.93,-4108.77,-34269.15,1856.68,22977.44,-6089.44,211.97,-667.12,-5877.47,-6544.59
220,1898.09,4498.69,5629.28,546.37,291.11,-91.98,-4092.29,-34553.92,1963.28,23048.89,-5897.02,208.44,-862.48,-5688.58,-6551.06
221,1947.04,4479.5,5588.41,553.72,280.63,-111.95,-4074.03,-34288.03,1934.97,23021.29,-6069.33,214.26,-668.46,-5855.07,-6523.53
