smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,toxicity_score
C=C1CCC2C(C3C(C)CCC13)C2(C)C,-5.695,4.389,4.585,0.001,0.0,0.003,0.007,0.06,-4.577,2.200380731665064e-05,0.916,93.56920623779297%,1.647,4.762468338012695%,0.366,0.764,0.207,0.92,0.337,0.599,0.02,0.798,0.164,0.424,13.563,0.04,0.021,0.256,0.243,0.011,0.56,0.884,0.037,0.043,0.008,0.03,0.873,3.295,4.705,5.41,6.639,0.001,0.002,0.003,0.003,0.395,0.84,0.002,0.016,0.002,0.153,0.375,0.003,204.19,239.69,0.852,0,0,0.0,0,3,11,0,0,14,0.0,5,0,0,0,0,0,1,0,0,0.517,4.223,0.867,48.857,3.363,0,0,0,0,Accepted,Rejected,Rejected,Accepted,3
C=CCC1C(C)=C(C)CS1(=O)=O,-2.241,1.19,1.202,0.0,0.002,0.006,0.265,0.069,-5.147,2.4932220185291957e-05,0.925,77.6983413696289%,1.879,29.408159255981445%,0.035,0.236,0.045,0.894,0.014,0.445,0.004,0.142,0.121,0.63,6.128,0.554,0.003,0.238,0.691,0.033,0.04,0.073,0.551,0.426,0.892,0.963,0.691,0.489,2.631,4.02,5.028,0.007,0.011,0.01,0.008,0.071,0.217,0.421,0.654,0.005,0.117,0.017,0.016,186.07,186.48,0.998,2,0,34.14,2,1,5,3,0,8,0.25,1,0,0,0,0,0,0,1,0,0.615,4.159,0.556,20.571,0.259,1,0,0,0,Accepted,Accepted,Accepted,Rejected,1
CC1CCC2=C1CC1CCC2(C)C1(C)C,-5.444,4.349,4.926,0.642,0.0,0.005,0.056,0.171,-4.661,1.4178613128024152e-05,0.341,98.0761489868164%,2.71,2.0576915740966797%,0.247,0.792,0.364,0.96,0.398,0.839,0.02,0.883,0.474,0.52,12.033,0.05,0.006,0.161,0.198,0.011,0.038,0.504,0.047,0.42,0.08,0.935,0.957,2.965,3.934,4.126,4.534,0.177,0.007,0.001,0.158,0.147,0.569,0.053,0.04,0.003,0.035,0.178,0.009,204.19,239.69,0.852,0,0,0.0,0,3,10,0,0,13,0.0,3,0,0,0,0,0,1,0,0,0.507,4.794,0.867,50.214,2.536,0,0,0,0,Accepted,Rejected,Rejected,Accepted,1
CC1CCC2C1C1C(CCC2(C)O)C1(C)C,-4.051,3.818,3.979,0.039,0.0,0.004,0.017,0.698,-4.609,3.1505845981882885e-05,0.88,93.44187927246094%,1.179,6.6384477615356445%,0.195,0.616,0.097,0.938,0.25,0.485,0.01,0.567,0.08,0.425,18.537,0.083,0.029,0.261,0.074,0.008,0.436,0.579,0.057,0.029,0.004,0.018,0.926,2.441,3.927,3.918,5.473,0.001,0.002,0.001,0.004,0.532,0.845,0.002,0.021,0.002,0.049,0.794,0.002,222.2,251.117,0.885,1,1,20.23,0,3,11,1,0,13,0.0,6,0,0,0,0,0,1,0,0,0.665,4.218,1.0,54.667,3.125,0,0,0,0,Accepted,Rejected,Accepted,Accepted,3
C=C(C)C1CCCCC1C,-4.433,3.821,4.182,0.0,0.0,0.003,0.3,0.113,-4.364,1.6616026186966337e-05,0.992,83.07882690429688%,2.865,15.84335994720459%,0.723,0.894,0.243,0.875,0.196,0.762,0.016,0.86,0.139,0.313,10.097,0.165,0.025,0.155,0.177,0.039,0.044,0.099,0.297,0.217,0.916,0.981,0.569,2.639,3.649,3.582,5.783,0.02,0.002,0.005,0.007,0.121,0.195,0.003,0.024,0.004,0.251,0.036,0.005,138.14,170.323,0.811,0,0,0.0,1,1,6,0,0,7,0.143,2,0,0,0,0,0,1,0,0,0.487,3.099,0.8,16.0,1.184,0,0,0,0,Accepted,Rejected,Rejected,Rejected,1
C=C1CCCC2(C)CCC3C(C)(C)CC132,-5.068,4.186,4.599,0.055,0.0,0.003,0.113,0.011,-4.673,1.2599677575053647e-05,0.598,86.22547912597656%,1.224,21.11111068725586%,0.144,0.732,0.376,0.945,0.264,0.678,0.054,0.68,0.159,0.303,9.961,0.063,0.01,0.143,0.022,0.015,0.049,0.3,0.088,0.058,0.781,0.942,0.938,3.067,4.338,4.756,5.631,0.055,0.008,0.003,0.21,0.118,0.033,0.076,0.05,0.004,0.075,0.097,0.001,204.19,239.69,0.852,0,0,0.0,0,3,11,0,0,14,0.0,3,0,0,0,0,0,1,0,0,0.507,4.791,0.867,74.286,3.165,0,0,0,0,Accepted,Rejected,Rejected,Accepted,2
C=CC1(C)CCC2=C(C)C(C)(C)CCC21,-5.693,4.647,5.168,0.828,0.0,0.008,0.178,0.008,-4.614,1.6750402210163884e-05,0.105,97.69068908691406%,3.002,3.214142084121704%,0.218,0.649,0.292,0.949,0.251,0.723,0.126,0.874,0.563,0.37,3.753,0.061,0.007,0.071,0.03,0.012,0.119,0.205,0.092,0.075,0.348,0.939,0.872,3.227,4.425,4.959,5.762,0.034,0.007,0.001,0.049,0.122,0.534,0.01,0.096,0.004,0.157,0.646,0.006,204.19,245.61,0.831,0,0,0.0,1,2,9,0,0,11,0.091,2,0,0,0,0,0,1,1,0,0.542,4.2,0.733,38.077,2.144,0,0,0,0,Accepted,Rejected,Rejected,Accepted,1
CC1=CCCC2(C)C3CCC12CC3(C)C,-5.231,4.3,4.992,0.02,0.0,0.005,0.102,0.356,-4.576,1.2433381016307976e-05,0.163,97.7630615234375%,2.672,3.409850597381592%,0.157,0.592,0.421,0.947,0.321,0.738,0.047,0.569,0.2,0.231,12.646,0.057,0.014,0.338,0.022,0.009,0.13,0.421,0.066,0.127,0.297,0.917,0.955,3.097,4.028,4.424,5.875,0.033,0.019,0.001,0.585,0.134,0.378,0.01,0.085,0.007,0.101,0.403,0.004,204.19,239.69,0.852,0,0,0.0,0,3,6,0,0,13,0.0,3,0,0,0,0,0,1,0,0,0.507,4.99,0.867,52.857,2.957,0,0,0,0,Accepted,Rejected,Rejected,Accepted,1
CC1=CC2CCC1(C)C(C)=C2C,-3.733,3.334,3.777,0.718,0.025,0.005,0.449,0.02,-4.504,2.0150177078903653e-05,0.185,96.78681945800781%,5.05,3.4283392429351807%,0.224,0.849,0.433,0.947,0.117,0.402,0.021,0.517,0.41,0.608,11.999,0.184,0.007,0.344,0.263,0.017,0.161,0.072,0.066,0.265,0.088,0.316,0.872,2.833,3.014,3.83,4.938,0.017,0.007,0.003,0.044,0.082,0.31,0.003,0.094,0.006,0.299,0.549,0.02,162.14,193.722,0.837,0,0,0.0,0,2,0,0,0,9,0.0,2,0,0,0,0,0,1,0,0,0.476,5.022,0.667,31.2,2.545,0,0,0,0,Accepted,Rejected,Accepted,Rejected,1
CC1=CC(C)(C)C(C=O)CC1,-2.604,2.612,2.733,0.002,0.0,0.005,0.222,0.016,-4.433,2.314515040779952e-05,0.864,59.33631896972656%,3.323,40.621463775634766%,0.127,0.26,0.071,0.691,0.029,0.822,0.042,0.592,0.056,0.275,6.854,0.497,0.009,0.111,0.037,0.006,0.009,0.258,0.962,0.381,0.973,0.986,0.442,1.738,3.252,4.434,5.567,0.009,0.004,0.004,0.073,0.085,0.045,0.509,0.025,0.005,0.027,0.214,0.011,152.12,176.477,0.862,1,0,17.07,1,1,6,1,0,7,0.143,1,0,0,1,0,2,0,1,0,0.417,3.806,0.7,19.765,2.264,1,1,0,0,Accepted,Accepted,Accepted,Rejected,2
C=C1CCC2C(=C(C(C)C)CCC2C)C1,-4.986,4.356,4.817,0.29,0.0,0.002,0.798,0.824,-4.524,1.6876208974281326e-05,0.907,95.8702392578125%,2.083,1.812744379043579%,0.282,0.626,0.149,0.892,0.398,0.665,0.014,0.79,0.332,0.523,7.882,0.073,0.016,0.082,0.822,0.026,0.056,0.081,0.062,0.72,0.018,0.361,0.563,2.958,4.077,5.412,4.552,0.023,0.003,0.006,0.003,0.574,0.592,0.01,0.025,0.003,0.368,0.037,0.009,204.19,245.61,0.831,0,0,0.0,1,2,10,0,0,12,0.083,2,0,0,0,0,0,1,0,0,0.542,4.089,0.733,30.462,2.367,0,0,0,0,Accepted,Rejected,Rejected,Accepted,1
CC1C(=O)C2CC1C(C)(C)C2,-1.985,1.114,2.681,0.0,0.0,0.007,0.003,0.004,-4.477,2.283578214701265e-05,0.949,67.16322326660156%,1.567,39.331825256347656%,0.133,0.545,0.068,0.899,0.083,0.742,0.007,0.721,0.033,0.329,14.305,0.506,0.019,0.415,0.733,0.011,0.18,0.095,0.271,0.273,0.964,0.971,0.656,0.697,3.126,3.401,4.497,0.019,0.003,0.015,0.004,0.098,0.027,0.012,0.016,0.004,0.007,0.058,0.004,152.12,170.557,0.892,1,0,17.07,0,2,6,1,0,9,0.0,3,1,0,0,0,1,1,0,0,0.52,4.7,0.9,34.211,2.153,0,0,0,0,Accepted,Accepted,Accepted,Rejected,1
CC12CCC(C1)C(C)(C)C2=O,-2.116,2.278,2.338,0.012,0.0,0.006,0.011,0.01,-4.618,2.2207415895536545e-05,0.654,76.52505493164062%,0.938,40.053890228271484%,0.042,0.906,0.447,0.927,0.082,0.767,0.01,0.551,0.083,0.378,11.416,0.66,0.004,0.26,0.095,0.018,0.13,0.106,0.058,0.348,0.896,0.932,0.973,0.359,2.269,2.65,3.645,0.005,0.005,0.008,0.007,0.167,0.021,0.005,0.02,0.007,0.018,0.06,0.004,152.12,170.557,0.892,1,0,17.07,0,2,6,1,0,9,0.0,2,1,0,0,0,1,1,0,0,0.521,4.468,0.9,36.842,2.47,0,0,0,0,Accepted,Accepted,Accepted,Rejected,2
C=C1CCCC2(C)CCC(C(C)(C)O)CC12,-3.215,3.644,3.853,0.002,0.0,0.003,0.049,0.005,-4.482,1.4310283404483926e-05,0.964,82.68229675292969%,0.991,12.943938255310059%,0.085,0.567,0.083,0.861,0.212,0.51,0.013,0.624,0.095,0.257,7.227,0.158,0.01,0.071,0.038,0.011,0.025,0.316,0.074,0.063,0.208,0.878,0.524,2.67,4.424,4.97,4.498,0.007,0.003,0.003,0.02,0.118,0.027,0.005,0.037,0.002,0.025,0.227,0.002,222.2,257.037,0.864,1,1,20.23,1,2,10,1,0,12,0.083,3,0,0,0,0,0,1,0,0,0.667,3.891,0.867,39.643,2.801,0,0,0,0,Accepted,Rejected,Accepted,Accepted,0
CC(C)C1CCC2C1(C)CCC1(C)C3CCC4C(C)(C)C(=O)CCC4(C)C3=CCC21C,-6.647,5.707,7.163,0.419,0.0,0.017,0.818,0.955,-5.011,7.420429483318003e-06,0.404,99.36075592041016%,1.82,1.5626440048217773%,0.031,0.588,0.08,0.98,0.096,0.592,0.071,0.771,0.185,0.805,18.087,0.021,0.004,0.223,0.025,0.018,0.46,0.671,0.014,0.108,0.003,0.199,0.97,3.24,5.179,6.528,6.303,0.007,0.022,0.0,0.633,0.312,0.877,0.096,0.125,0.005,0.105,0.755,0.006,424.37,488.171,0.869,1,0,17.07,1,5,21,1,0,26,0.038,8,1,0,0,0,1,1,0,0,0.387,4.717,0.9,97.368,3.281,0,0,0,0,Accepted,Rejected,Rejected,Rejected,3
CC12CCC3(C1)C(CC2=O)CC(OC(=O)c1ccccc1)C1C(C)(C(=O)O)CCCC13C,-4.894,4.451,3.948,0.058,0.0,0.005,0.029,0.016,-5.273,1.9650693502626385e-05,0.044,98.6514663696289%,0.568,2.4560210704803467%,0.011,0.587,0.031,0.91,0.171,0.553,0.005,0.088,0.466,0.193,3.94,0.44,0.003,0.148,0.016,0.009,0.438,0.051,0.017,0.083,0.003,0.175,0.156,0.222,4.029,3.585,4.757,0.187,0.551,0.011,0.85,0.27,0.171,0.962,0.157,0.044,0.214,0.871,0.111,438.24,460.898,0.951,5,1,80.67,4,5,15,5,0,28,0.143,7,1,0,0,0,1,1,0,0,0.65,5.531,0.667,158.667,2.439,0,0,0,0,Accepted,Accepted,Rejected,Accepted,3
C=C1CC(OC(=O)c2ccccc2)C2C(C)(C(=O)O)CCCC2(C)C1CCC(C)=CCO,-4.538,4.581,4.933,0.001,0.0,0.017,0.661,0.029,-5.244,2.8417265639291145e-05,0.112,97.71935272216797%,0.487,1.4996391534805298%,0.036,0.128,0.018,0.453,0.231,0.402,0.003,0.128,0.13,0.21,2.305,0.322,0.002,0.225,0.151,0.007,0.787,0.051,0.102,0.161,0.003,0.037,0.122,0.426,4.619,5.628,5.12,0.03,0.016,0.006,0.371,0.112,0.238,0.409,0.239,0.014,0.307,0.47,0.03,440.26,475.375,0.926,5,2,83.83,8,3,10,5,0,21,0.381,5,0,0,0,0,1,0,0,1,0.438,4.254,0.556,78.857,2.523,0,0,0,0,Accepted,Accepted,Rejected,Accepted,1
C=C1CC(OC(=O)c2ccccc2)C2C(C)(C(=O)O)CCCC2(C)C1CCC(C)=O,-4.79,3.961,3.61,0.003,0.001,0.032,0.006,0.002,-5.228,2.689616485440638e-05,0.061,96.1402587890625%,0.257,1.2782142162322998%,0.03,0.349,0.025,0.789,0.254,0.735,0.004,0.177,0.094,0.22,0.978,0.493,0.002,0.195,0.092,0.009,0.697,0.044,0.038,0.038,0.003,0.056,0.044,0.375,4.501,4.958,4.837,0.042,0.023,0.01,0.09,0.114,0.304,0.556,0.117,0.014,0.24,0.275,0.029,412.22,440.783,0.935,5,1,80.67,7,3,10,5,0,21,0.333,5,1,0,0,0,1,1,1,0,0.522,4.074,0.56,79.615,2.205,0,0,0,0,Accepted,Accepted,Rejected,Accepted,0
C=C(C=O)CCC1C(=C)CC(OC(=O)c2ccccc2)C2C(C)(C(=O)O)CCCC12C,-4.66,4.376,4.318,0.001,0.0,0.052,0.005,0.002,-5.312,2.7625152142718434e-05,0.029,93.59630584716797%,0.233,1.0673251152038574%,0.044,0.228,0.031,0.506,0.343,0.574,0.003,0.2,0.148,0.216,1.051,0.322,0.001,0.045,0.359,0.066,0.595,0.243,0.375,0.255,0.003,0.107,0.872,0.42,5.198,6.091,5.346,0.017,0.285,0.007,0.044,0.286,0.74,0.939,0.861,0.037,0.683,0.315,0.866,424.22,455.442,0.931,5,1,80.67,8,3,10,5,0,22,0.364,5,0,0,1,0,3,1,2,1,0.281,4.379,0.5,79.615,2.441,2,3,0,0,Accepted,Accepted,Rejected,Accepted,5
C=C1CC(OC(=O)c2ccccc2)C2C(C)(CO)CCCC2(C)C1CCC(C)=CCO,-4.82,4.272,5.152,0.795,0.0,0.005,0.618,0.032,-4.54,2.231608596048318e-05,0.592,97.31088256835938%,1.396,1.597902774810791%,0.061,0.126,0.147,0.12,0.308,0.218,0.036,0.116,0.728,0.331,12.311,0.207,0.006,0.136,0.291,0.014,0.521,0.147,0.14,0.073,0.003,0.015,0.06,1.135,5.019,6.393,5.653,0.021,0.011,0.002,0.856,0.1,0.032,0.007,0.12,0.008,0.511,0.72,0.04,426.28,469.221,0.908,4,2,66.76,8,3,10,4,0,20,0.4,5,0,0,0,0,1,1,0,1,0.458,4.293,0.593,75.209,2.586,0,0,0,0,Accepted,Rejected,Rejected,Accepted,2
CC(C)CC1=C2C(=CCC2C(=O)O)CC(C)C1=O,-3.963,2.871,3.338,0.002,0.0,0.005,0.002,0.003,-4.53,3.1592444429406896e-05,0.517,92.41483306884766%,0.316,3.0255024433135986%,0.149,0.109,0.087,0.767,0.225,0.934,0.032,0.118,0.022,0.217,3.629,0.665,0.008,0.282,0.628,0.013,0.349,0.256,0.35,0.583,0.004,0.056,0.804,0.393,3.018,3.81,3.692,0.013,0.01,0.113,0.021,0.06,0.568,0.929,0.797,0.008,0.761,0.146,0.08,248.14,266.708,0.93,3,1,54.37,3,2,9,3,0,12,0.25,2,1,0,0,0,3,2,1,1,0.835,4.032,0.6,32.667,1.323,1,0,0,0,Accepted,Rejected,Accepted,Accepted,4
COC1CCC2(C)C3=CCC4(C)C5CCC(C(C)C)C5(C)CCC4(C)C3CCC2C1(C)C,-6.856,5.823,7.711,0.527,0.0,0.011,0.386,0.897,-4.929,6.79026561556384e-06,0.39,100.31681823730469%,2.095,1.428950309753418%,0.02,0.482,0.055,0.977,0.063,0.064,0.046,0.616,0.139,0.776,15.851,0.005,0.009,0.138,0.027,0.016,0.278,0.72,0.055,0.017,0.003,0.053,0.924,3.094,5.502,7.007,6.818,0.001,0.011,0.0,0.611,0.317,0.829,0.008,0.09,0.003,0.036,0.697,0.006,440.4,508.103,0.867,1,0,9.23,2,5,21,1,0,25,0.08,9,1,0,0,0,0,0,0,0,0.39,4.788,0.935,97.433,3.252,0,0,0,0,Accepted,Rejected,Rejected,Rejected,3
COC1CCC2(C)C3=CCC4(C)C5CCC(C(C)C)C5(C)CCC4(C)C3CCC2C1(C)C,-6.856,5.823,7.711,0.527,0.0,0.011,0.386,0.897,-4.929,6.79026561556384e-06,0.39,100.31681823730469%,2.095,1.428950309753418%,0.02,0.482,0.055,0.977,0.063,0.064,0.046,0.616,0.139,0.776,15.851,0.005,0.009,0.138,0.027,0.016,0.278,0.72,0.055,0.017,0.003,0.053,0.924,3.094,5.502,7.007,6.818,0.001,0.011,0.0,0.611,0.317,0.829,0.008,0.09,0.003,0.036,0.697,0.006,440.4,508.103,0.867,1,0,9.23,2,5,21,1,0,25,0.08,9,1,0,0,0,0,0,0,0,0.39,4.788,0.935,97.433,3.252,0,0,0,0,Accepted,Rejected,Rejected,Rejected,3
CC(C)C1CCC2(C)CCC3(C)C(C(=O)CC4C5(C)CCCC(C)(C)C5CCC43C)C12,-7.148,6.522,8.017,0.136,0.0,0.044,0.752,0.981,-5.136,6.263077011681162e-06,0.93,99.90696716308594%,1.641,1.939129114151001%,0.019,0.524,0.068,0.976,0.069,0.276,0.022,0.294,0.166,0.703,18.424,0.011,0.014,0.232,0.029,0.025,0.754,0.461,0.193,0.011,0.004,0.365,0.947,3.035,5.378,6.741,6.679,0.0,0.006,0.0,0.766,0.307,0.59,0.005,0.055,0.001,0.088,0.691,0.001,426.39,490.807,0.869,1,0,17.07,1,5,21,1,0,26,0.038,9,1,0,0,0,1,1,0,0,0.412,4.746,0.967,99.085,2.754,0,0,0,0,Accepted,Rejected,Rejected,Rejected,3
C=C1CCC2CC1C2(C)C,-4.389,3.668,3.625,0.001,0.0,0.003,0.041,0.004,-4.46,2.0472711184993383e-05,0.986,64.3329086303711%,1.091,25.358184814453125%,0.296,0.352,0.163,0.825,0.321,0.794,0.009,0.859,0.026,0.252,10.097,0.107,0.005,0.109,0.051,0.005,0.028,0.714,0.068,0.042,0.838,0.982,0.933,3.003,4.675,5.624,5.587,0.008,0.003,0.006,0.005,0.199,0.548,0.006,0.017,0.003,0.017,0.02,0.003,136.13,161.767,0.842,0,0,0.0,0,2,0,0,0,9,0.0,2,0,0,0,0,0,1,0,0,0.449,4.385,0.8,32.0,2.973,0,0,0,0,Accepted,Rejected,Accepted,Rejected,3
C=CC1(C)CCC(=C(C)C)CC1C(=C)C,-4.893,4.45,4.987,0.896,0.0,0.003,0.796,0.014,-4.542,1.882245669548865e-05,0.157,95.88357543945312%,4.07,4.342617511749268%,0.391,0.494,0.327,0.92,0.231,0.582,0.165,0.66,0.598,0.312,10.922,0.09,0.02,0.07,0.025,0.007,0.019,0.097,0.074,0.134,0.156,0.949,0.09,3.202,3.722,5.138,6.424,0.01,0.003,0.005,0.008,0.292,0.543,0.007,0.03,0.005,0.253,0.251,0.006,204.19,251.53,0.812,0,0,0.0,2,1,6,0,0,9,0.222,2,0,0,0,0,0,1,1,0,0.562,4.313,0.6,24.167,3.1,0,0,0,0,Accepted,Rejected,Rejected,Accepted,0
C=C1CCC2C3C(C(C)C)CCC2(C)C13,-5.219,4.392,4.416,0.0,0.0,0.003,0.011,0.147,-4.509,2.030956602538936e-05,0.923,90.73816680908203%,1.032,5.053802490234375%,0.299,0.662,0.173,0.931,0.313,0.287,0.012,0.61,0.096,0.416,16.34,0.058,0.02,0.182,0.238,0.025,0.567,0.839,0.03,0.056,0.006,0.031,0.739,3.297,4.668,5.236,6.506,0.001,0.002,0.003,0.003,0.189,0.785,0.002,0.016,0.003,0.245,0.368,0.003,204.19,239.69,0.852,0,0,0.0,1,3,0,0,0,13,0.077,5,0,0,0,0,0,1,0,0,0.559,5.151,0.867,47.571,3.197,0,0,0,0,Accepted,Rejected,Rejected,Accepted,3
CC1C=CC2(CC1)C(C(C)C)=CCC2C,-5.601,4.913,5.014,0.001,0.0,0.004,0.01,0.23,-4.279,1.655971209402196e-05,0.33,97.6041488647461%,3.17,3.9303646087646484%,0.354,0.724,0.386,0.95,0.355,0.65,0.428,0.786,0.683,0.427,6.128,0.091,0.002,0.041,0.042,0.01,0.145,0.053,0.028,0.35,0.005,0.427,0.34,3.15,3.939,4.526,4.732,0.005,0.002,0.005,0.051,0.144,0.551,0.004,0.06,0.004,0.26,0.856,0.021,204.19,245.61,0.831,0,0,0.0,1,2,6,0,0,11,0.091,3,0,0,0,0,0,1,0,0,0.548,4.878,0.733,45.0,2.707,0,0,0,0,Accepted,Rejected,Rejected,Accepted,1
CC1=CC2=C(CC1)C(C)CCC2C(C)C,-5.075,4.179,4.684,0.984,0.003,0.004,0.245,0.958,-4.541,1.5127548977034166e-05,0.236,98.19026947021484%,3.204,1.8692423105239868%,0.423,0.649,0.416,0.939,0.71,0.324,0.324,0.332,0.689,0.76,6.369,0.228,0.018,0.079,0.299,0.013,0.018,0.309,0.764,0.416,0.073,0.794,0.346,2.934,3.713,4.696,4.529,0.168,0.015,0.007,0.098,0.113,0.802,0.02,0.1,0.004,0.339,0.595,0.087,204.19,245.61,0.831,0,0,0.0,1,2,10,0,0,11,0.091,2,0,0,0,0,0,1,0,0,0.579,4.029,0.733,29.538,2.08,0,0,0,0,Accepted,Rejected,Rejected,Accepted,2
C=C(C)C1CCC2(C)CCCC(=C)C2C1,-5.063,4.278,4.893,0.04,0.0,0.002,0.748,0.012,-4.536,1.293116292799823e-05,0.908,83.10553741455078%,1.667,9.485309600830078%,0.32,0.773,0.241,0.887,0.264,0.587,0.037,0.906,0.316,0.324,8.825,0.064,0.024,0.234,0.048,0.016,0.036,0.823,0.067,0.212,0.188,0.926,0.652,3.13,4.524,5.295,6.421,0.026,0.004,0.003,0.032,0.083,0.263,0.008,0.039,0.004,0.2,0.228,0.006,204.19,245.61,0.831,0,0,0.0,1,2,10,0,0,13,0.077,3,0,0,0,0,0,1,0,0,0.542,3.934,0.733,35.0,2.931,0,0,0,0,Accepted,Rejected,Rejected,Accepted,1
C=C(C)C1CCC2(C)CCC=C(C)C2C1,-5.32,4.319,5.322,0.023,0.0,0.004,0.801,0.284,-4.471,1.2687551134149544e-05,0.809,94.70164489746094%,3.277,3.590806484222412%,0.385,0.741,0.324,0.924,0.286,0.739,0.036,0.899,0.382,0.293,13.979,0.064,0.031,0.497,0.031,0.008,0.021,0.5,0.15,0.211,0.573,0.933,0.444,3.156,4.188,4.868,6.42,0.046,0.004,0.002,0.024,0.092,0.415,0.006,0.047,0.004,0.25,0.397,0.006,204.19,245.61,0.831,0,0,0.0,1,2,10,0,0,12,0.083,3,0,0,0,0,0,1,0,0,0.542,4.056,0.733,34.0,3.247,0,0,0,0,Accepted,Rejected,Rejected,Accepted,0
CC(C)=CCCC(C)=C1CC=C(C)CC1,-5.187,4.555,6.491,0.971,0.001,0.003,0.964,0.971,-4.553,1.4399095562112052e-05,0.139,92.05614471435547%,7.663,4.296546936035156%,0.922,0.17,0.482,0.255,0.626,0.911,0.053,0.189,0.234,0.169,15.813,0.134,0.036,0.738,0.131,0.002,0.005,0.021,0.937,0.396,0.16,0.938,0.008,2.872,3.163,4.619,5.847,0.025,0.003,0.037,0.009,0.528,0.442,0.007,0.028,0.004,0.277,0.054,0.008,204.19,251.53,0.812,0,0,0.0,3,1,6,0,0,8,0.375,0,0,0,0,0,0,1,0,0,0.556,3.256,0.6,8.75,2.782,0,0,0,0,Accepted,Rejected,Rejected,Accepted,2
CC1CCC2C1C1C(CCC2(C)O)C1(C)C,-4.051,3.818,3.979,0.039,0.0,0.004,0.017,0.698,-4.609,3.1505845981882885e-05,0.88,93.44187927246094%,1.179,6.6384477615356445%,0.195,0.616,0.097,0.938,0.25,0.485,0.01,0.567,0.08,0.425,18.537,0.083,0.029,0.261,0.074,0.008,0.436,0.579,0.057,0.029,0.004,0.018,0.926,2.441,3.927,3.918,5.473,0.001,0.002,0.001,0.004,0.532,0.845,0.002,0.021,0.002,0.049,0.794,0.002,222.2,251.117,0.885,1,1,20.23,0,3,11,1,0,13,0.0,6,0,0,0,0,0,1,0,0,0.665,4.218,1.0,54.667,3.125,0,0,0,0,Accepted,Rejected,Accepted,Accepted,3
CC1=C(C=O)C(C)(C)CCC1,-3.365,3.022,3.239,0.009,0.002,0.007,0.03,0.004,-4.508,2.3662734747631475e-05,0.665,82.47318267822266%,1.63,27.156558990478516%,0.575,0.927,0.514,0.898,0.085,0.898,0.22,0.855,0.033,0.296,2.314,0.439,0.009,0.032,0.102,0.253,0.058,0.202,0.289,0.486,0.966,0.98,0.958,0.884,3.223,3.802,4.64,0.042,0.004,0.005,0.118,0.127,0.035,0.216,0.031,0.005,0.019,0.016,0.021,152.12,176.477,0.862,1,0,17.07,1,1,6,1,0,7,0.143,0,0,0,1,0,3,1,2,1,0.528,2.877,0.7,11.765,2.226,2,1,0,0,Accepted,Rejected,Accepted,Rejected,3
C=C1CC23CCC1C(C)(C)C2CCC3C,-5.428,4.346,4.752,0.002,0.0,0.003,0.148,0.285,-4.676,1.6200714526348747e-05,0.945,86.77013397216797%,0.985,7.790205001831055%,0.21,0.34,0.216,0.903,0.464,0.5,0.03,0.851,0.208,0.268,9.941,0.047,0.003,0.099,0.041,0.009,0.083,0.69,0.026,0.023,0.075,0.909,0.954,3.324,5.142,6.407,6.136,0.019,0.005,0.001,0.018,0.135,0.638,0.005,0.027,0.005,0.094,0.256,0.007,204.19,239.69,0.852,0,0,0.0,0,3,0,0,0,14,0.0,4,0,0,0,0,0,1,0,0,0.513,5.486,0.867,70.571,3.341,0,0,0,0,Accepted,Rejected,Rejected,Accepted,1
CC1=CC2C(CCC(C)=CCC1)C2(C)C,-6.158,4.651,6.249,0.763,0.0,0.004,0.928,0.75,-4.43,1.3968558960186783e-05,0.28,96.8275375366211%,6.064,2.881789207458496%,0.548,0.337,0.468,0.832,0.532,0.914,0.023,0.259,0.206,0.242,8.613,0.038,0.01,0.582,0.134,0.005,0.059,0.401,0.222,0.062,0.068,0.322,0.131,3.262,4.214,6.018,6.783,0.004,0.003,0.007,0.008,0.089,0.325,0.004,0.034,0.003,0.292,0.527,0.002,204.19,245.61,0.831,0,0,0.0,0,2,11,0,0,12,0.0,2,0,0,0,0,0,1,0,0,0.501,4.114,0.733,33.0,3.202,0,0,0,0,Accepted,Rejected,Rejected,Accepted,0
