smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,toxicity_score
O=C1C=CC23CCCC2CCC13,-3.142,2.022,1.889,0.253,0.0,0.003,0.006,0.02,-4.555,3.511257091304287e-05,0.88,77.9158706665039%,0.963,15.079368591308594%,0.355,0.34,0.459,0.787,0.059,0.353,0.369,0.416,0.589,0.325,8.959,0.349,0.017,0.383,0.034,0.023,0.301,0.911,0.711,0.805,0.141,0.949,0.97,1.952,4.601,4.515,4.782,0.332,0.107,0.003,0.112,0.089,0.171,0.085,0.342,0.061,0.214,0.047,0.082,162.1,176.66,0.918,1,0,17.07,0,3,11,1,0,14,0.0,3,1,1,0,0,2,2,1,1,0.534,4.683,0.727,57.632,3.13,1,0,0,0,Accepted,Accepted,Accepted,Rejected,4
CC1(C)COC(=O)C1O,-1.077,0.759,0.763,0.0,0.009,0.008,0.005,0.001,-4.507,9.068963845493272e-05,0.879,24.19228172302246%,0.762,84.87236022949219%,0.06,0.135,0.033,0.818,0.014,0.476,0.007,0.608,0.006,0.185,6.0,0.694,0.01,0.032,0.097,0.122,0.039,0.057,0.293,0.03,0.605,0.956,0.356,0.559,2.061,3.453,4.201,0.163,0.008,0.014,0.011,0.063,0.008,0.004,0.019,0.006,0.021,0.011,0.007,130.06,127.51,1.02,3,1,46.53,0,1,5,3,0,6,0.0,1,0,0,0,0,0,3,0,0,0.467,3.636,0.833,20.364,2.375,1,0,0,0,Accepted,Accepted,Accepted,Rejected,0
CC1=CC(C)C(C(=O)N2CCCC2=O)C1,-2.2,1.557,2.104,0.007,0.001,0.019,0.217,0.047,-4.608,1.761988824000582e-05,0.997,61.11049270629883%,0.87,43.94050979614258%,0.231,0.691,0.259,0.883,0.056,0.383,0.026,0.163,0.202,0.528,11.335,0.502,0.006,0.55,0.29,0.03,0.126,0.077,0.389,0.669,0.003,0.039,0.023,0.783,1.802,2.364,4.45,0.434,0.007,0.024,0.111,0.124,0.064,0.008,0.304,0.005,0.422,0.039,0.014,207.13,219.663,0.943,3,0,37.38,2,2,5,3,0,12,0.167,2,0,0,0,0,1,0,1,0,0.485,3.605,0.667,31.2,0.336,0,0,0,0,Accepted,Accepted,Accepted,Accepted,1
C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,-2.973,0.218,0.558,0.0,0.005,0.629,0.851,0.018,-5.878,2.1171530534047637e-05,0.535,36.92254638671875%,0.303,54.38633728027344%,0.002,0.9,0.009,0.501,0.008,0.191,0.004,0.129,0.147,0.037,1.843,0.114,0.014,0.261,0.122,0.015,0.893,0.372,0.008,0.391,0.003,0.017,0.964,0.039,2.303,2.61,3.895,0.003,0.078,0.015,0.075,0.081,0.015,0.476,0.147,0.485,0.057,0.145,0.851,346.14,336.593,1.028,6,3,104.06,1,5,7,6,0,24,0.042,8,0,0,0,0,1,3,0,0,0.484,6.69,0.684,127.5,3.652,1,0,0,0,Accepted,Accepted,Accepted,Accepted,3
CN1CCC(C(=O)O)C1,0.214,-0.289,-1.995,0.001,0.006,0.225,0.003,0.041,-5.636,0.0004027017857879,0.912,9.407726287841797%,0.913,94.52034759521484%,0.013,0.097,0.017,0.437,0.01,0.231,0.008,0.567,0.003,0.046,8.071,0.654,0.027,0.043,0.024,0.04,0.113,0.025,0.362,0.336,0.626,0.897,0.539,0.203,2.493,3.049,3.394,0.212,0.003,0.008,0.002,0.281,0.011,0.004,0.024,0.009,0.006,0.005,0.007,129.08,129.717,0.995,3,1,40.54,1,1,5,3,0,6,0.167,1,0,0,0,0,0,0,0,0,0.542,2.421,0.833,16.364,-0.541,0,0,0,0,Accepted,Accepted,Accepted,Rejected,0
CC(C)(O)CCC(O)C(C)(O)C1CCC2(O)C3=C(CCC12C)C1(C)CC(O)C(O)CC1C(=O)C3,-2.727,0.646,1.317,0.014,0.076,0.789,0.513,0.027,-4.967,1.1784663911384996e-05,0.903,74.25312805175781%,0.935,16.645524978637695%,0.001,0.202,0.004,0.742,0.024,0.425,0.0,0.117,0.034,0.383,2.859,0.21,0.034,0.308,0.035,0.092,0.822,0.604,0.032,0.022,0.003,0.008,0.42,0.245,1.475,1.869,4.988,0.847,0.119,0.01,0.739,0.122,0.007,0.129,0.196,0.011,0.044,0.748,0.041,480.31,497.581,0.965,7,6,138.45,5,4,17,7,0,21,0.238,9,1,0,0,0,1,2,0,0,0.331,5.338,0.889,89.216,3.209,0,0,0,0,Accepted,Accepted,Rejected,Accepted,4
CC=C(C)C(=O)OC1CC(OC(C)=O)C2(C(=O)OC)COC3C2C12COC(O)(C(=O)OC)C2C(C)(C12OC1(C)C1CC2OC2OC=CC21O)C3O,-3.837,1.493,1.306,1.0,0.975,0.66,0.649,0.985,-5.261,0.0001375590800307,0.246,38.52167510986328%,1.581,37.2530632019043%,0.0,0.993,0.017,0.724,0.014,0.005,0.003,0.107,0.719,0.857,1.748,0.016,0.03,0.342,0.32,0.844,0.978,0.961,0.005,0.976,0.003,0.01,0.963,0.985,3.752,5.88,5.549,0.022,0.816,0.014,0.773,0.209,0.778,0.923,0.711,0.976,0.769,0.968,0.999,720.26,670.289,1.075,16,3,215.34,10,8,14,16,0,38,0.263,16,2,1,2,0,5,7,3,8,0.14,7.579,0.771,215.065,3.457,1,0,0,0,Rejected,Accepted,Rejected,Rejected,14
COC(=O)C1OCC23C(O)CC(O)C4(C)COC(C42)C(O)C(C)(C24OC2(C)C2CC4OC4OC=CC42O)C13,-3.425,1.089,0.486,0.427,0.982,0.405,0.822,0.874,-5.394,5.91228308621794e-05,0.313,19.711393356323242%,0.676,69.30516052246094%,0.001,0.985,0.004,0.773,0.002,0.014,0.001,0.145,0.185,0.351,1.939,0.036,0.142,0.253,0.039,0.466,0.977,0.947,0.013,0.975,0.003,0.007,0.973,1.258,4.186,5.397,5.73,0.006,0.483,0.005,0.87,0.084,0.359,0.862,0.076,0.828,0.526,0.945,0.989,536.23,498.516,1.076,11,4,156.67,3,8,14,11,0,34,0.088,16,2,1,2,0,4,4,1,7,0.26,7.44,0.889,200.569,3.622,0,0,0,0,Rejected,Accepted,Rejected,Rejected,8
CC1=CC=C2OC(C)(O1)C1(CCC2(C)C)CO1,-3.66,3.122,3.539,0.535,0.018,0.008,0.16,0.069,-4.723,2.2225074644666165e-05,0.373,82.87042236328125%,2.585,23.64407730102539%,0.067,0.853,0.143,0.935,0.126,0.072,0.071,0.441,0.094,0.743,7.438,0.313,0.018,0.824,0.561,0.618,0.132,0.095,0.076,0.946,0.003,0.036,0.262,0.948,2.471,3.704,3.883,0.01,0.011,0.016,0.129,0.062,0.005,0.005,0.085,0.01,0.209,0.102,0.922,236.14,246.129,0.959,3,0,30.99,0,3,10,3,0,15,0.0,2,2,1,2,0,3,2,1,5,0.605,5.809,0.714,70.0,1.411,0,1,0,0,Accepted,Rejected,Accepted,Accepted,4
C=C1CC=C(C(C)C)CC1,-3.143,3.247,3.494,0.004,0.0,0.002,0.986,0.992,-4.384,1.996304126805626e-05,0.994,82.29548645019531%,2.058,10.796241760253906%,0.692,0.498,0.138,0.796,0.125,0.802,0.058,0.829,0.065,0.247,9.115,0.403,0.005,0.067,0.367,0.018,0.013,0.097,0.04,0.945,0.059,0.946,0.058,2.499,2.598,3.922,4.234,0.022,0.002,0.011,0.005,0.687,0.289,0.006,0.02,0.004,0.041,0.007,0.006,136.13,167.687,0.812,0,0,0.0,1,1,6,0,0,7,0.143,0,0,0,0,0,0,1,0,0,0.485,3.54,0.6,8.25,2.647,0,0,0,0,Accepted,Rejected,Accepted,Rejected,1
